word,freq
t h e,5954
a,4361
a n d,3831
o f,3631
t o,2438
i s,2096
s,2055
i t,1949
t h a t,1612
i n,1556
a s,1075
f i l m,956
w i t h,953
b u t,853
t h i s,830
a n,825
f o r,812
m o v i e,808
i t s,767
y o u,665
b e,538
n t,535
o n,522
b y,454
o n e,446
n o t,439
h a s,434
a b o u t,433
m o r e,418
a r e,415
l i k e,413
a t,412
t h a n,394
f r o m,388
a l l,377
h a v e,368
h i s,355
i,353
s o,320
i f,300
o r,299
s t o r y,289
r r b,287
l r b,286
w h a t,264
m o s t,258
t h e r e,258
w h o,256
o u t,254
t o o,252
i n t o,249
j u s t,244
d o e s,243
u p,225
e v e n,221
n o,219
g o o d,214
c o m e d y,212
w i l l,211
m u c h,209
c a n,204
c h a r a c t e r s,199
t i m e,188
s o m e,184
f u n n y,181
t h e i r,181
l i t t l e,174
o n l y,167
w a y,167
t h e y,165
h e,163
y o u r,163
n e v e r,158
d i r e c t o r,157
m a k e,157
w h i c h,156
w o r k,152
w e,151
v e r y,151
b e e n,150
a n y,150
w o u l d,149
b a d,149
m a k e s,149
l o v e,145
d o,144
u s,144
e n o u g h,143
m a y,138
l i f e,136
w a s,135
b e s t,131
m o v i e s,131
c o u l d,127
n e w,126
w h i l e,126
w h e n,125
t h r o u g h,125
d r a m a,123
s o m e t h i n g,121
m a d e,117
r e a l l y,117
w e l l,117
h o w,115
p e r f o r m a n c e s,111
o w n,110
s h o u l d,109
p l o t,109
h e r,109
m a n y,109
n o t h i n g,109
a c t i o n,108
f i l m s,108
b e t t e r,108
w i t h o u t,107
e v e r y,106
p e o p l e,103
b o t h,103
o t h e r,102
t h o s e,100
t w o,100
l o o k,99
s e e,99
r e,98
e v e r,98
c a s t,96
s u c h,96
o f f,95
a l s o,94
g r e a t,94
s t i l l,94
h u m o r,94
s e n s e,91
s c r i p t,91
b e i n g,90
l o n g,89
f u n,89
a u d i e n c e,88
t h e m,88
o f t e n,88
c h a r a c t e r,87
h e r e,86
f e e l,86
m i g h t,86
b e c a u s e,86
f i r s t,85
k i n d,84
s e e m s,83
b i g,83
p e r f o r m a n c e,83
w o r l d,82
r e a l,82
g e t,82
f e e l s,81
t h o u g h,80
e n t e r t a i n i n g,79
t a l e,79
m i n u t e s,79
a n o t h e r,79
v e,78
b e t w e e n,78
h a r d,78
a f t e r,78
h o l l y w o o d,76
t h i n g,76
d o c u m e n t a r y,76
w e r e,75
d o w n,75
t h r i l l e r,75
l e s s,74
o v e r,74
s c r e e n,73
t a k e,73
f e w,73
c o m e s,72
t h e s e,72
w a t c h i n g,72
h e a r t,72
f a m i l y,71
a c t i n g,71
a l m o s t,71
p i c t u r e,70
f a r,69
q u i t e,69
y e a r,69
e n d,69
l l,69
m y,68
y e t,67
r o m a n t i c,67
u l t i m a t e l y,67
i n t e r e s t i n g,67
r a t h e r,66
i t s e l f,66
b e f o r e,66
a c t o r s,66
s e e n,66
m a n,65
t h i n g s,65
c o m e,65
c a,64
w o r k s,64
h a d,64
f u l l,64
d i a l o g u e,63
m a t e r i a l,63
h u m a n,63
w a t c h,63
m o m e n t s,63
m e,62
w h e r e,62
a m e r i c a n,62
s e e m,61
w o r t h,61
o n c e,61
f i n d,60
g o,60
b a c k,60
c i n e m a,59
r i g h t,58
s c e n e s,58
m a k i n g,58
y e a r s,58
o r i g i n a l,58
d e s p i t e,58
l o t,57
o l d,57
l e a s t,56
c o m p e l l i n g,56
t a k e s,56
t h e n,56
y o u n g,55
g e t s,55
w h y,55
s h e,55
f a s c i n a t i n g,55
m u s i c,54
k i d s,54
g i v e s,54
s p e c i a l,54
g i v e,53
d i r e c t i o n,53
g o i n g,53
p i e c e,52
o f f e r s,52
m o v i n g,52
k e e p,51
o u r,51
t i m e s,51
t h i n k,50
e x p e r i e n c e,50
p a r t,50
s u b j e c t,50
s o m e t i m e s,49
c o m i c,48
h i s t o r y,48
a n y t h i n g,48
d i d,48
b i t,48
s t y l e,48
s w e e t,48
s a y,47
d u l l,47
a r t,47
t o g e t h e r,47
a w a y,47
v i s u a l,46
s a m e,46
s c r e e n p l a y,46
e m o t i o n a l,46
w a n t,46
a g a i n,46
l a u g h s,46
h i m,46
l a s t,46
m r,46
w o m e n,46
c a r e,45
c i n e m a t i c,45
a n y o n e,45
s i n c e,45
f i l m m a k e r s,45
m a n a g e s,45
d a r k,45
s h o r t,44
k n o w,44
e n t e r t a i n m e n t,44
w a r,44
f a n s,44
d,44
p o i n t,44
g e n r e,43
a c t u a l l y,43
i d e a,43
s m a r t,43
n e e d,43
s i m p l y,43
s h o w,43
f l i c k,43
n a r r a t i v e,42
c l e v e r,42
w h o l e,42
w h o s e,42
g o e s,42
p l a y s,42
s e r i e s,42
s u r p r i s i n g l y,41
b e a u t i f u l l y,41
p r e d i c t a b l e,40
s t u d y,40
e x e r c i s e,40
u n d e r,40
w o r s t,40
i n s t e a d,40
t i t l e,40
p r o b a b l y,40
p r e t t y,40
e n g a g i n g,40
s t a r,40
c h i l d r e n,40
p l a c e,40
e v e r y t h i n g,39
f a m i l i a r,39
f e a t u r e,39
d o n e,39
p r e m i s e,39
b e c o m e s,39
e n j o y a b l e,39
c h a r m,39
n e a r l y,39
a r o u n d,39
f i l m m a k i n g,38
m a t t e r,38
m,38
t h r e e,38
e f f o r t,38
t r y i n g,38
b e a u t i f u l,38
t r u e,38
p o r t r a i t,37
a l w a y s,37
d a y,36
e n e r g y,36
s e t,36
h o r r o r,36
p o w e r f u l,36
f e e l i n g,36
s i l l y,35
l o o k s,35
q u i r k y,35
e n d i n g,35
s t r o n g,35
l o o k i n g,35
c e r t a i n l y,35
a m u s i n g,35
h a l f,35
w o,35
s u r e,35
c h a r m i n g,35
h o m e,35
s t o r y t e l l i n g,34
w i t,34
m o d e r n,34
a l t h o u g h,34
f a c e,34
v i d e o,34
e f f e c t s,34
h i g h,34
r o m a n c e,34
t o n e,33
f r e n c h,33
e a c h,33
h o u r,33
p o w e r,33
t u r n s,33
s o l i d,33
e s p e c i a l l y,33
l a c k s,33
e v e r y o n e,33
d e e p l y,33
e n j o y,33
s u m m e r,33
r a r e,33
f a c t,33
i n t e l l i g e n t,33
l i k e l y,32
n o w,32
d e b u t,32
e a s y,32
d r a m a t i c,32
t h e a t e r,32
s p i r i t,32
d i r e c t e d,32
h o u r s,32
l e a v e,31
c u l t u r e,31
p u t,31
b e l i e v e,31
r e c e n t,31
c o m p l e t e l y,31
f a i l s,31
r e a s o n,31
p r o v e s,31
d e,31
i d e a s,30
s t u f f,30
t r u l y,30
f i l m m a k e r,30
j o h n,30
o b v i o u s,30
s o r t,30
s m a l l,30
l i v e s,30
s h o w s,30
f r e s h,30
i n t e r e s t,30
m e s s,30
v e r s i o n,30
s a d,30
s e r i o u s,30
i n t e l l i g e n c e,30
w r i t e r d i r e c t o r,30
l e v e l,30
c a m e r a,30
p r o b l e m,30
m i n d,30
f i n e,30
a b o v e,29
e l s e,29
b e y o n d,29
t u r n,29
n o r,29
r i d e,29
a d v e n t u r e,29
n e i t h e r,29
p a s t,29
f l a t,29
s t o r i e s,29
b o r i n g,29
a l o n g,29
t r i e s,29
w o m a n,29
t v,29
s u s p e n s e,29
m u s t,29
s h o t,29
g i r l,29
a u d i e n c e s,29
s a t i s f y i n g,28
r i c h,28
o p e r a,28
g o t,28
a l r e a d y,28
t o u c h i n g,28
m o s t l y,28
v i e w e r s,28
p l e a s u r e,28
l a c k,28
d e a t h,28
l i g h t,28
t e r r i f i c,28
e a s i l y,27
b o o k,27
p r o j e c t,27
h i l a r i o u s,27
p l a y,27
a t t e m p t,27
w h e t h e r,27
p e r f e c t,27
e i t h e r,27
c o m p l e x,27
m e n,27
a g a i n s t,27
f o r m u l a,27
i m a g i n e,27
m i c h a e l,27
l e f t,27
s e x,26
l i n e,26
r e m a r k a b l e,26
r a r e l y,26
a c t o r,26
m e l o d r a m a,26
l o s t,26
p a r t i c u l a r l y,26
s a t i r e,26
s e q u e l,26
c l a s s i c,26
w o n d e r f u l,26
h i m s e l f,26
t h o r o u g h l y,26
s e e i n g,25
p r o d u c t i o n,25
p r e t e n t i o u s,25
w a y s,25
m i n u t e,25
i n t r i g u i n g,25
l e a v e s,25
d e l i v e r s,25
s o c i a l,25
c o l d,25
w r i t t e n,25
n e x t,25
s l o w,25
l i v e,25
b e c o m e,25
t o l d,24
m y s t e r y,24
i m p o s s i b l e,24
s c e n e,24
i m a g i n a t i o n,24
r o l e,24
h e a d,24
d i f f e r e n t,24
b l a n d,24
m e s s a g e,24
b l a c k,24
j o k e s,24
c o n t r i v e d,24
